_c0,County-State,Drop_Out_Rate_By_County
41,RICHLAND PARISH-LA,0.011879049676025918
42,SABINE PARISH-LA,0.036585365853658534
43,ST. BERNARD PARISH-LA,0.047619047619047616
44,ST. CHARLES PARISH-LA,0.02999610440202571
45,ST. HELENA PARISH-LA,0.11387900355871886
46,ST. JAMES PARISH-LA,0.014861995753715499
47,ST. JOHN THE BAPTIST PARISH-LA,0.04509415262636274
48,ST. LANDRY PARISH-LA,0.0944055944055944
49,ST. MARTIN PARISH-LA,0.10218702865761689
50,ST. MARY PARISH-LA,0.06424062383958411
51,ST. TAMMANY PARISH-LA,0.04291409364496209
52,TANGIPAHOA PARISH-LA,0.1111111111111111
53,TENSAS PARISH-LA,0.05128205128205128
54,TERREBONNE PARISH-LA,0.07724425887265135
55,UNION PARISH-LA,0.05723630417007359
56,VERMILION PARISH-LA,0.11438755670771225
57,VERNON PARISH-LA,0.03576807228915663
58,WASHINGTON PARISH-LA,0.09155241043785936
59,WEBSTER PARISH-LA,0.06747572815533981
60,WEST BATON ROUGE PARISH-LA,0.060810810810810814
61,WEST CARROLL PARISH-LA,0.23076923076923078
62,WEST FELICIANA PARISH-LA,0.0
63,WINN PARISH-LA,0.18616144975288304
0,HAWAII-HI,0.032357649211067915
1,HONOLULU-HI,0.035637734071369685
2,KALAWAO-HI,0.0
3,KAUAI-HI,0.08501628664495114
4,MAUI-HI,0.0885841934986905
0,BELKNAP-NH,0.028716830243547802
1,CARROLL-NH,0.03598971722365039
2,CHESHIRE-NH,0.027305825242718445
3,COOS-NH,0.03508771929824561
4,GRAFTON-NH,0.03479740179399938
5,HILLSBOROUGH-NH,0.034696032584100166
6,MERRIMACK-NH,0.03379224030037547
7,ROCKINGHAM-NH,0.025974025974025976
8,STRAFFORD-NH,0.016325188999671305
9,SULLIVAN-NH,0.10716152639832724
0,ACCOMACK-VA,0.03843364757070341
1,ALBEMARLE-VA,0.01775078827513722
2,ALLEGHANY-VA,0.05521472392638037
3,AMELIA-VA,0.026595744680851064
4,AMHERST-VA,0.033964728935336384
5,APPOMATTOX-VA,0.06451612903225806
6,ARLINGTON-VA,0.07296197558580048
7,AUGUSTA-VA,0.06924705170849713
8,BATH-VA,0.0
9,BEDFORD-VA,0.03555941023417172
10,BLAND-VA,0.12121212121212122
11,BOTETOURT-VA,0.0583804143126177
12,BRUNSWICK-VA,0.007220216606498195
13,BUCHANAN-VA,0.12332990750256938
14,BUCKINGHAM-VA,0.02865761689291101
15,CAMPBELL-VA,0.03321610003907777
16,CAROLINE-VA,0.027694610778443114
17,CARROLL-VA,0.021394611727416798
18,CHARLES CITY-VA,0.05
19,CHARLOTTE-VA,0.06741573033707865
20,CHESTERFIELD-VA,0.043253646677471634
21,CLARKE-VA,0.0
22,CRAIG-VA,0.0
23,CULPEPER-VA,0.09087755809920221
24,CUMBERLAND-VA,0.0
25,DICKENSON-VA,0.027287319422150885
26,DINWIDDIE-VA,0.09764542936288088
27,ESSEX-VA,0.0
28,FAIRFAX-VA,0.03397809120993859
29,FAUQUIER-VA,0.021470588235294116
30,FLOYD-VA,0.0
31,FLUVANNA-VA,0.3708133971291866
32,FRANKLIN-VA,0.0585569884977344
33,FREDERICK-VA,0.02466879853814527
34,GILES-VA,0.10383386581469649
35,GLOUCESTER-VA,0.041666666666666664
36,GOOCHLAND-VA,0.0
37,GRAYSON-VA,0.024242424242424242
38,GREENE-VA,0.04220398593200469
39,GREENSVILLE-VA,0.0
40,HALIFAX-VA,0.07197191339964892
41,HANOVER-VA,0.010980006555227795
42,HENRICO-VA,0.020085986833266158
43,HENRY-VA,0.04681230494872938
44,HIGHLAND-VA,0.0
45,ISLE OF WIGHT-VA,0.0
46,JAMES CITY-VA,0.02171945701357466
47,KING AND QUEEN-VA,0.0
48,KING GEORGE-VA,0.07554225878833208
49,KING WILLIAM-VA,0.015296367112810707
50,LANCASTER-VA,0.0015527950310559005
51,LEE-VA,0.04439252336448598
52,LOUDOUN-VA,0.06281108223582786
53,LOUISA-VA,0.09788166544923302
54,LUNENBURG-VA,0.043227665706051875
55,MADISON-VA,0.0
56,MATHEWS-VA,0.06746031746031746
57,MECKLENBURG-VA,0.0
58,MIDDLESEX-VA,0.07777777777777778
59,MONTGOMERY-VA,0.0025573465592064475
60,NELSON-VA,0.0
61,NEW KENT-VA,0.03759398496240601
62,NORTHAMPTON-VA,0.025052192066805846
63,NORTHUMBERLAND-VA,0.0
64,NOTTOWAY-VA,0.05575539568345324
65,ORANGE-VA,0.05443322109988777
66,PAGE-VA,0.018805309734513276
67,PATRICK-VA,0.039711191335740074
68,PITTSYLVANIA-VA,0.08537058595265813
69,POWHATAN-VA,0.0036153289949385392
