County-State,Median-Household-Income
SMITH-KS,42098
STAFFORD-KS,51857
STANTON-KS,57741
STEVENS-KS,59044
SUMNER-KS,53578
THOMAS-KS,68313
TREGO-KS,59420
WABAUNSEE-KS,65742
WALLACE-KS,49632
WASHINGTON-KS,52172
WICHITA-KS,58299
WILSON-KS,49682
WOODSON-KS,42692
WYANDOTTE-KS,48093
ADAIR-KY,43026
ALLEN-KY,44180
ANDERSON-KY,54413
BALLARD-KY,45517
BARREN-KY,41674
BATH-KY,44893
BELL-KY,28442
BOONE-KY,82838
BOURBON-KY,47024
BOYD-KY,51019
BOYLE-KY,51562
BRACKEN-KY,60053
BREATHITT-KY,29538
BRECKINRIDGE-KY,47236
BULLITT-KY,65531
BUTLER-KY,45955
CALDWELL-KY,48281
CALLOWAY-KY,41841
CAMPBELL-KY,63152
CARLISLE-KY,41222
CARROLL-KY,41014
CARTER-KY,39492
CASEY-KY,33004
CHRISTIAN-KY,44279
CLARK-KY,54871
CLAY-KY,27479
CLINTON-KY,33092
CRITTENDEN-KY,46354
CUMBERLAND-KY,35030
DAVIESS-KY,54881
EDMONSON-KY,44229
ELLIOTT-KY,36950
ESTILL-KY,32800
FAYETTE-KY,58954
FLEMING-KY,42087
FLOYD-KY,35096
FRANKLIN-KY,59056
FULTON-KY,31587
GALLATIN-KY,55113
GARRARD-KY,55369
GRANT-KY,56746
GRAVES-KY,45614
GRAYSON-KY,38262
GREEN-KY,33846
GREENUP-KY,52337
HANCOCK-KY,56265
HARDIN-KY,57101
HARLAN-KY,28261
HARRISON-KY,50270
HART-KY,39834
HENDERSON-KY,50471
HENRY-KY,52550
HICKMAN-KY,44063
HOPKINS-KY,47014
JACKSON-KY,31515
JEFFERSON-KY,58196
JESSAMINE-KY,64855
JOHNSON-KY,38333
KENTON-KY,66541
KNOTT-KY,32531
KNOX-KY,30257
LARUE-KY,48495
LAUREL-KY,43745
LAWRENCE-KY,32856
LEE-KY,24699
LESLIE-KY,36038
LETCHER-KY,33181
LEWIS-KY,29844
LINCOLN-KY,42231
LIVINGSTON-KY,52795
LOGAN-KY,48912
LYON-KY,49286
MCCRACKEN-KY,47011
MCCREARY-KY,29499
MCLEAN-KY,54181
MADISON-KY,51649
MAGOFFIN-KY,27807
MARION-KY,43587
MARSHALL-KY,57348
MARTIN-KY,42894
MASON-KY,46241
MEADE-KY,61500
MENIFEE-KY,46746
MERCER-KY,52312
METCALFE-KY,40391
MONROE-KY,35078
MONTGOMERY-KY,46998
MORGAN-KY,37399
MUHLENBERG-KY,45937
NELSON-KY,63032
NICHOLAS-KY,47665
OHIO-KY,45773
OLDHAM-KY,103761
