,NAME,State,Total Population 16 to 19 Years,Total_Male_Dropout,Total_Female_Dropout,Total_Dropout,County
168,Montague County,Texas,717,60,16,76,Montague 
169,Montgomery County,Texas,33081,970,798,1768,Montgomery 
170,Moore County,Texas,1148,199,26,225,Moore 
171,Morris County,Texas,583,7,7,14,Morris 
172,Motley County,Texas,54,0,0,0,Motley 
173,Nacogdoches County,Texas,5501,80,8,88,Nacogdoches 
174,Navarro County,Texas,2843,272,24,296,Navarro 
175,Newton County,Texas,965,95,30,125,Newton 
176,Nolan County,Texas,1122,199,88,287,Nolan 
177,Nueces County,Texas,20532,1338,673,2011,Nueces 
178,Ochiltree County,Texas,674,28,11,39,Ochiltree 
179,Oldham County,Texas,161,8,0,8,Oldham 
180,Orange County,Texas,4355,133,120,253,Orange 
181,Palo Pinto County,Texas,1409,7,6,13,Palo Pinto 
182,Panola County,Texas,1165,19,7,26,Panola 
183,Parker County,Texas,7288,203,76,279,Parker 
184,Parmer County,Texas,544,30,16,46,Parmer 
185,Pecos County,Texas,752,0,56,56,Pecos 
186,Polk County,Texas,2318,140,129,269,Polk 
187,Potter County,Texas,6296,125,314,439,Potter 
188,Presidio County,Texas,655,226,14,240,Presidio 
189,Rains County,Texas,488,25,40,65,Rains 
190,Randall County,Texas,7863,536,261,797,Randall 
191,Reagan County,Texas,155,20,0,20,Reagan 
192,Real County,Texas,266,0,0,0,Real 
193,Red River County,Texas,624,30,0,30,Red River 
194,Reeves County,Texas,1113,87,0,87,Reeves 
195,Refugio County,Texas,356,5,0,5,Refugio 
196,Roberts County,Texas,53,0,0,0,Roberts 
197,Robertson County,Texas,718,19,0,19,Robertson 
198,Rockwall County,Texas,5979,47,76,123,Rockwall 
199,Runnels County,Texas,439,2,32,34,Runnels 
200,Rusk County,Texas,2755,225,63,288,Rusk 
201,Sabine County,Texas,575,0,10,10,Sabine 
202,San Augustine County,Texas,410,5,39,44,San Augustine 
203,San Jacinto County,Texas,1017,0,38,38,San Jacinto 
204,San Patricio County,Texas,3799,110,46,156,San Patricio 
205,San Saba County,Texas,310,0,0,0,San Saba 
206,Schleicher County,Texas,147,0,0,0,Schleicher 
207,Scurry County,Texas,1095,23,138,161,Scurry 
208,Shackelford County,Texas,207,20,41,61,Shackelford 
209,Shelby County,Texas,1537,30,0,30,Shelby 
210,Sherman County,Texas,156,23,0,23,Sherman 
211,Smith County,Texas,12830,675,359,1034,Smith 
212,Somervell County,Texas,265,0,0,0,Somervell 
213,Starr County,Texas,4553,115,304,419,Starr 
214,Stephens County,Texas,513,4,0,4,Stephens 
215,Sterling County,Texas,82,0,0,0,Sterling 
216,Stonewall County,Texas,110,0,0,0,Stonewall 
217,Sutton County,Texas,143,0,0,0,Sutton 
218,Swisher County,Texas,356,15,0,15,Swisher 
219,Tarrant County,Texas,120025,5009,2930,7939,Tarrant 
220,Taylor County,Texas,8422,355,247,602,Taylor 
221,Terrell County,Texas,23,0,0,0,Terrell 
222,Terry County,Texas,760,20,29,49,Terry 
223,Throckmorton County,Texas,99,0,0,0,Throckmorton 
224,Titus County,Texas,1964,5,23,28,Titus 
225,Tom Green County,Texas,7557,121,146,267,Tom Green 
226,Travis County,Texas,61459,1994,1235,3229,Travis 
227,Trinity County,Texas,658,20,0,20,Trinity 
228,Tyler County,Texas,955,151,0,151,Tyler 
229,Upshur County,Texas,2206,67,22,89,Upshur 
230,Upton County,Texas,222,2,0,2,Upton 
231,Uvalde County,Texas,2071,35,60,95,Uvalde 
232,Val Verde County,Texas,2949,194,56,250,Val Verde 
233,Van Zandt County,Texas,2851,18,103,121,Van Zandt 
234,Victoria County,Texas,4821,158,185,343,Victoria 
235,Walker County,Texas,5676,70,0,70,Walker 
236,Waller County,Texas,5059,319,128,447,Waller 
237,Ward County,Texas,577,0,40,40,Ward 
238,Washington County,Texas,2933,5,107,112,Washington 
239,Webb County,Texas,19169,495,232,727,Webb 
240,Wharton County,Texas,2408,188,103,291,Wharton 
241,Wheeler County,Texas,279,47,0,47,Wheeler 
242,Wichita County,Texas,8955,156,226,382,Wichita 
243,Wilbarger County,Texas,744,107,134,241,Wilbarger 
244,Willacy County,Texas,1305,58,68,126,Willacy 
245,Williamson County,Texas,29269,646,894,1540,Williamson 
246,Wilson County,Texas,2822,161,14,175,Wilson 
247,Winkler County,Texas,817,38,0,38,Winkler 
248,Wise County,Texas,4025,131,71,202,Wise 
249,Wood County,Texas,2008,129,110,239,Wood 
250,Yoakum County,Texas,468,146,7,153,Yoakum 
251,Young County,Texas,836,0,6,6,Young 
252,Zapata County,Texas,819,76,0,76,Zapata 
253,Zavala County,Texas,825,23,10,33,Zavala 
0,Abbeville County,South Carolina,1390,50,38,88,Abbeville 
1,Aiken County,South Carolina,7783,328,104,432,Aiken 
2,Allendale County,South Carolina,620,132,22,154,Allendale 
3,Anderson County,South Carolina,10256,601,454,1055,Anderson 
4,Bamberg County,South Carolina,1072,0,0,0,Bamberg 
5,Barnwell County,South Carolina,1263,21,108,129,Barnwell 
6,Beaufort County,South Carolina,9283,281,44,325,Beaufort 
7,Berkeley County,South Carolina,11366,243,114,357,Berkeley 
8,Calhoun County,South Carolina,566,12,0,12,Calhoun 
9,Charleston County,South Carolina,18684,742,317,1059,Charleston 
10,Cherokee County,South Carolina,3392,237,77,314,Cherokee 
11,Chester County,South Carolina,1770,49,182,231,Chester 
12,Chesterfield County,South Carolina,2326,311,27,338,Chesterfield 
13,Clarendon County,South Carolina,1557,74,39,113,Clarendon 
14,Colleton County,South Carolina,1852,108,5,113,Colleton 
15,Darlington County,South Carolina,3564,524,120,644,Darlington 
16,Dillon County,South Carolina,1372,83,38,121,Dillon 
17,Dorchester County,South Carolina,8846,484,362,846,Dorchester 
18,Edgefield County,South Carolina,1558,40,34,74,Edgefield 
19,Fairfield County,South Carolina,1068,15,0,15,Fairfield 
20,Florence County,South Carolina,7126,160,54,214,Florence 
21,Georgetown County,South Carolina,2547,60,40,100,Georgetown 
22,Greenville County,South Carolina,26168,803,562,1365,Greenville 
23,Greenwood County,South Carolina,3924,252,318,570,Greenwood 
24,Hampton County,South Carolina,932,0,15,15,Hampton 
25,Horry County,South Carolina,15476,625,227,852,Horry 
26,Jasper County,South Carolina,1445,7,49,56,Jasper 
27,Kershaw County,South Carolina,3346,178,104,282,Kershaw 
28,Lancaster County,South Carolina,3918,181,161,342,Lancaster 
29,Laurens County,South Carolina,3217,95,95,190,Laurens 
30,Lee County,South Carolina,901,0,37,37,Lee 
31,Lexington County,South Carolina,13766,616,199,815,Lexington 
32,McCormick County,South Carolina,290,43,12,55,McCormick 
33,Marion County,South Carolina,1775,59,93,152,Marion 
34,Marlboro County,South Carolina,1020,204,0,204,Marlboro 
35,Newberry County,South Carolina,2279,31,111,142,Newberry 
36,Oconee County,South Carolina,3373,174,88,262,Oconee 
37,Orangeburg County,South Carolina,4965,92,188,280,Orangeburg 
38,Pickens County,South Carolina,10239,277,291,568,Pickens 
39,Richland County,South Carolina,31457,663,550,1213,Richland 
40,Saluda County,South Carolina,968,130,153,283,Saluda 
41,Spartanburg County,South Carolina,16965,460,456,916,Spartanburg 
42,Sumter County,South Carolina,5485,103,0,103,Sumter 
43,Union County,South Carolina,1170,33,83,116,Union 
44,Williamsburg County,South Carolina,1444,71,2,73,Williamsburg 
45,York County,South Carolina,14653,394,66,460,York 
0,Barbour County,West Virginia,1120,25,13,38,Barbour 
1,Berkeley County,West Virginia,4925,207,126,333,Berkeley 
2,Boone County,West Virginia,1105,44,84,128,Boone 
3,Braxton County,West Virginia,605,11,2,13,Braxton 
4,Brooke County,West Virginia,1397,28,15,43,Brooke 
5,Cabell County,West Virginia,5034,241,89,330,Cabell 
6,Calhoun County,West Virginia,226,0,0,0,Calhoun 
7,Clay County,West Virginia,471,14,0,14,Clay 
8,Doddridge County,West Virginia,552,0,30,30,Doddridge 
9,Fayette County,West Virginia,1972,1,21,22,Fayette 
10,Gilmer County,West Virginia,691,0,0,0,Gilmer 
11,Grant County,West Virginia,506,0,0,0,Grant 
12,Greenbrier County,West Virginia,1309,3,24,27,Greenbrier 
13,Hampshire County,West Virginia,997,3,11,14,Hampshire 
14,Hancock County,West Virginia,1225,48,68,116,Hancock 
15,Hardy County,West Virginia,499,0,7,7,Hardy 
16,Harrison County,West Virginia,2917,142,22,164,Harrison 
17,Jackson County,West Virginia,1419,40,82,122,Jackson 
18,Jefferson County,West Virginia,3053,34,35,69,Jefferson 
19,Kanawha County,West Virginia,8066,221,325,546,Kanawha 
20,Lewis County,West Virginia,800,0,0,0,Lewis 
21,Lincoln County,West Virginia,786,17,0,17,Lincoln 
22,Logan County,West Virginia,1461,25,20,45,Logan 
23,McDowell County,West Virginia,737,59,27,86,McDowell 
24,Marion County,West Virginia,2923,53,56,109,Marion 
25,Marshall County,West Virginia,1255,0,8,8,Marshall 
26,Mason County,West Virginia,1186,24,5,29,Mason 
27,Mercer County,West Virginia,2940,10,6,16,Mercer 
28,Mineral County,West Virginia,1615,3,22,25,Mineral 
29,Mingo County,West Virginia,1086,15,57,72,Mingo 
30,Monongalia County,West Virginia,7932,23,18,41,Monongalia 
31,Monroe County,West Virginia,554,0,0,0,Monroe 
32,Morgan County,West Virginia,1098,94,0,94,Morgan 
33,Nicholas County,West Virginia,1042,0,0,0,Nicholas 
34,Ohio County,West Virginia,2524,78,34,112,Ohio 
35,Pendleton County,West Virginia,225,0,0,0,Pendleton 
36,Pleasants County,West Virginia,387,8,0,8,Pleasants 
37,Pocahontas County,West Virginia,360,0,19,19,Pocahontas 
38,Preston County,West Virginia,1307,25,0,25,Preston 
39,Putnam County,West Virginia,2791,16,37,53,Putnam 
40,Raleigh County,West Virginia,3198,160,36,196,Raleigh 
41,Randolph County,West Virginia,1287,47,13,60,Randolph 
42,Ritchie County,West Virginia,373,0,4,4,Ritchie 
43,Roane County,West Virginia,714,95,38,133,Roane 
44,Summers County,West Virginia,457,18,0,18,Summers 
45,Taylor County,West Virginia,603,0,2,2,Taylor 
46,Tucker County,West Virginia,307,0,5,5,Tucker 
47,Tyler County,West Virginia,428,20,0,20,Tyler 
48,Upshur County,West Virginia,1386,59,4,63,Upshur 
49,Wayne County,West Virginia,1942,96,170,266,Wayne 
50,Webster County,West Virginia,327,5,28,33,Webster 
51,Wetzel County,West Virginia,678,2,86,88,Wetzel 
52,Wirt County,West Virginia,232,0,11,11,Wirt 
53,Wood County,West Virginia,3916,124,67,191,Wood 
54,Wyoming County,West Virginia,1036,41,70,111,Wyoming 
0,Beaverhead County,Montana,743,0,28,28,Beaverhead 
1,Big Horn County,Montana,870,29,59,88,Big Horn 
2,Blaine County,Montana,307,2,5,7,Blaine 
3,Broadwater County,Montana,328,39,63,102,Broadwater 
4,Carbon County,Montana,424,14,16,30,Carbon 
5,Carter County,Montana,40,12,6,18,Carter 
6,Cascade County,Montana,3468,80,84,164,Cascade 
7,Chouteau County,Montana,228,24,26,50,Chouteau 
8,Custer County,Montana,625,32,24,56,Custer 
9,Daniels County,Montana,70,0,0,0,Daniels 
10,Dawson County,Montana,421,5,2,7,Dawson 
11,Deer Lodge County,Montana,508,117,9,126,Deer Lodge 
12,Fallon County,Montana,131,0,0,0,Fallon 
13,Fergus County,Montana,468,5,1,6,Fergus 
14,Flathead County,Montana,4637,142,135,277,Flathead 
15,Gallatin County,Montana,6621,128,78,206,Gallatin 
16,Garfield County,Montana,41,0,18,18,Garfield 
17,Glacier County,Montana,609,16,19,35,Glacier 
18,Golden Valley County,Montana,31,3,0,3,Golden Valley 
19,Granite County,Montana,216,0,21,21,Granite 
20,Hill County,Montana,951,0,0,0,Hill 
21,Jefferson County,Montana,580,0,38,38,Jefferson 
22,Judith Basin County,Montana,94,0,0,0,Judith Basin 
23,Lake County,Montana,1423,139,108,247,Lake 
24,Lewis and Clark County,Montana,3184,248,190,438,Lewis and Clark 
25,Liberty County,Montana,155,0,35,35,Liberty 
26,Lincoln County,Montana,687,36,6,42,Lincoln 
27,McCone County,Montana,44,0,0,0,McCone 
28,Madison County,Montana,338,0,0,0,Madison 
29,Meagher County,Montana,41,0,0,0,Meagher 
30,Mineral County,Montana,173,0,0,0,Mineral 
31,Missoula County,Montana,6914,76,26,102,Missoula 
32,Musselshell County,Montana,187,23,9,32,Musselshell 
33,Park County,Montana,541,70,0,70,Park 
34,Petroleum County,Montana,19,0,0,0,Petroleum 
35,Phillips County,Montana,160,0,0,0,Phillips 
36,Pondera County,Montana,370,4,39,43,Pondera 
37,Powder River County,Montana,42,0,0,0,Powder River 
38,Powell County,Montana,301,56,6,62,Powell 
39,Prairie County,Montana,43,0,0,0,Prairie 
40,Ravalli County,Montana,1946,155,89,244,Ravalli 
41,Richland County,Montana,733,2,0,2,Richland 
42,Roosevelt County,Montana,687,53,69,122,Roosevelt 
43,Rosebud County,Montana,562,35,18,53,Rosebud 
44,Sanders County,Montana,449,5,20,25,Sanders 
45,Sheridan County,Montana,103,0,0,0,Sheridan 
46,Silver Bow County,Montana,1586,136,8,144,Silver Bow 
47,Stillwater County,Montana,480,8,5,13,Stillwater 
48,Sweet Grass County,Montana,98,10,1,11,Sweet Grass 
49,Teton County,Montana,312,8,0,8,Teton 
50,Toole County,Montana,225,8,0,8,Toole 
51,Treasure County,Montana,27,0,17,17,Treasure 
52,Valley County,Montana,344,0,0,0,Valley 
53,Wheatland County,Montana,105,30,0,30,Wheatland 
54,Wibaux County,Montana,52,0,0,0,Wibaux 
55,Yellowstone County,Montana,7447,505,317,822,Yellowstone 
0,Beaver County,Utah,501,20,20,40,Beaver 
1,Box Elder County,Utah,3360,100,47,147,Box Elder 
2,Cache County,Utah,9617,302,192,494,Cache 
3,Carbon County,Utah,1266,6,31,37,Carbon 
4,Daggett County,Utah,26,0,0,0,Daggett 
5,Davis County,Utah,21758,597,612,1209,Davis 
6,Duchesne County,Utah,1165,47,65,112,Duchesne 
7,Emery County,Utah,579,22,0,22,Emery 
8,Garfield County,Utah,334,1,11,12,Garfield 
9,Grand County,Utah,285,0,14,14,Grand 
10,Iron County,Utah,4171,103,177,280,Iron 
11,Juab County,Utah,781,61,17,78,Juab 
12,Kane County,Utah,313,33,0,33,Kane 
13,Millard County,Utah,798,102,2,104,Millard 
14,Morgan County,Utah,739,16,0,16,Morgan 
15,Piute County,Utah,156,20,0,20,Piute 
16,Rich County,Utah,174,0,0,0,Rich 
17,Salt Lake County,Utah,62946,2769,1627,4396,Salt Lake 
18,San Juan County,Utah,1051,10,0,10,San Juan 
19,Sanpete County,Utah,2716,82,2,84,Sanpete 
20,Sevier County,Utah,1203,129,60,189,Sevier 
21,Summit County,Utah,2505,91,170,261,Summit 
22,Tooele County,Utah,4795,151,342,493,Tooele 
23,Uintah County,Utah,2113,124,54,178,Uintah 
24,Utah County,Utah,47313,913,489,1402,Utah 
25,Wasatch County,Utah,1999,164,5,169,Wasatch 
26,Washington County,Utah,9754,405,193,598,Washington 
27,Wayne County,Utah,186,0,0,0,Wayne 
28,Weber County,Utah,13951,499,475,974,Weber 
0,Autauga County,Alabama,3042,9,104,113,Autauga 
1,Baldwin County,Alabama,10258,500,127,627,Baldwin 
2,Barbour County,Alabama,1078,17,23,40,Barbour 
3,Bibb County,Alabama,1147,29,98,127,Bibb 
4,Blount County,Alabama,3071,118,24,142,Blount 
5,Bullock County,Alabama,881,29,68,97,Bullock 
6,Butler County,Alabama,865,96,132,228,Butler 
7,Calhoun County,Alabama,6350,179,191,370,Calhoun 
8,Chambers County,Alabama,1374,124,48,172,Chambers 
9,Cherokee County,Alabama,1213,56,8,64,Cherokee 
10,Chilton County,Alabama,2099,7,0,7,Chilton 
11,Choctaw County,Alabama,830,0,0,0,Choctaw 
12,Clarke County,Alabama,1335,93,60,153,Clarke 
13,Clay County,Alabama,683,17,32,49,Clay 
14,Cleburne County,Alabama,674,25,27,52,Cleburne 
15,Coffee County,Alabama,2531,32,58,90,Coffee 
16,Colbert County,Alabama,2528,173,63,236,Colbert 
17,Conecuh County,Alabama,693,4,0,4,Conecuh 
18,Coosa County,Alabama,321,56,0,56,Coosa 
19,Covington County,Alabama,1698,49,23,72,Covington 
20,Crenshaw County,Alabama,607,11,0,11,Crenshaw 
21,Cullman County,Alabama,4134,303,135,438,Cullman 
22,Dale County,Alabama,2373,105,41,146,Dale 
23,Dallas County,Alabama,2125,84,32,116,Dallas 
24,DeKalb County,Alabama,3890,220,51,271,DeKalb 
25,Elmore County,Alabama,3939,100,65,165,Elmore 
26,Escambia County,Alabama,1876,162,75,237,Escambia 
27,Etowah County,Alabama,4690,190,38,228,Etowah 
28,Fayette County,Alabama,918,0,0,0,Fayette 
29,Franklin County,Alabama,1424,32,10,42,Franklin 
30,Geneva County,Alabama,1306,64,54,118,Geneva 
31,Greene County,Alabama,159,0,0,0,Greene 
32,Hale County,Alabama,860,36,92,128,Hale 
33,Henry County,Alabama,999,41,42,83,Henry 
34,Houston County,Alabama,4938,80,111,191,Houston 
35,Jackson County,Alabama,2326,16,95,111,Jackson 
36,Jefferson County,Alabama,33375,689,1007,1696,Jefferson 
37,Lamar County,Alabama,450,34,10,44,Lamar 
38,Lauderdale County,Alabama,4752,51,42,93,Lauderdale 
39,Lawrence County,Alabama,1573,22,0,22,Lawrence 
40,Lee County,Alabama,11838,298,265,563,Lee 
41,Limestone County,Alabama,4834,99,156,255,Limestone 
42,Lowndes County,Alabama,424,32,12,44,Lowndes 
43,Macon County,Alabama,1635,101,30,131,Macon 
44,Madison County,Alabama,19034,346,154,500,Madison 
45,Marengo County,Alabama,1007,13,0,13,Marengo 
46,Marion County,Alabama,1530,105,108,213,Marion 
47,Marshall County,Alabama,5096,100,165,265,Marshall 
48,Mobile County,Alabama,21261,916,355,1271,Mobile 
49,Monroe County,Alabama,1252,19,54,73,Monroe 
50,Montgomery County,Alabama,12150,420,225,645,Montgomery 
51,Morgan County,Alabama,5668,213,120,333,Morgan 
52,Perry County,Alabama,1086,1,0,1,Perry 
53,Pickens County,Alabama,1005,3,95,98,Pickens 
54,Pike County,Alabama,3016,39,32,71,Pike 
55,Randolph County,Alabama,1108,24,0,24,Randolph 
56,Russell County,Alabama,2558,228,57,285,Russell 
57,St. Clair County,Alabama,3817,214,70,284,St. Clair 
58,Shelby County,Alabama,11693,262,55,317,Shelby 
59,Sumter County,Alabama,974,12,38,50,Sumter 
60,Talladega County,Alabama,4008,125,128,253,Talladega 
61,Tallapoosa County,Alabama,2103,307,79,386,Tallapoosa 
62,Tuscaloosa County,Alabama,16681,116,122,238,Tuscaloosa 
63,Walker County,Alabama,2915,58,33,91,Walker 
64,Washington County,Alabama,1111,10,13,23,Washington 
65,Wilcox County,Alabama,638,4,8,12,Wilcox 
66,Winston County,Alabama,1049,194,73,267,Winston 
0,Anderson County,Tennessee,3221,115,74,189,Anderson 
1,Bedford County,Tennessee,2224,59,14,73,Bedford 
2,Benton County,Tennessee,601,96,0,96,Benton 
3,Bledsoe County,Tennessee,468,0,0,0,Bledsoe 
4,Blount County,Tennessee,6566,58,85,143,Blount 
5,Bradley County,Tennessee,6172,314,119,433,Bradley 
6,Campbell County,Tennessee,1550,77,25,102,Campbell 
7,Cannon County,Tennessee,634,13,26,39,Cannon 
8,Carroll County,Tennessee,1377,8,22,30,Carroll 
9,Carter County,Tennessee,2252,26,14,40,Carter 
10,Cheatham County,Tennessee,1961,52,0,52,Cheatham 
11,Chester County,Tennessee,1425,66,0,66,Chester 
12,Claiborne County,Tennessee,1528,44,10,54,Claiborne 
13,Clay County,Tennessee,320,32,0,32,Clay 
14,Cocke County,Tennessee,1627,66,19,85,Cocke 
15,Coffee County,Tennessee,2832,69,54,123,Coffee 
16,Crockett County,Tennessee,767,48,0,48,Crockett 
17,Cumberland County,Tennessee,2215,167,54,221,Cumberland 
18,Davidson County,Tennessee,32170,1080,517,1597,Davidson 
19,Decatur County,Tennessee,481,0,3,3,Decatur 
20,DeKalb County,Tennessee,765,1,2,3,DeKalb 
21,Dickson County,Tennessee,2461,2,43,45,Dickson 
22,Dyer County,Tennessee,1793,12,78,90,Dyer 
23,Fayette County,Tennessee,1773,75,80,155,Fayette 
24,Fentress County,Tennessee,922,7,0,7,Fentress 
25,Franklin County,Tennessee,2565,31,42,73,Franklin 
26,Gibson County,Tennessee,2493,62,37,99,Gibson 
27,Giles County,Tennessee,1636,58,22,80,Giles 
28,Grainger County,Tennessee,1204,0,88,88,Grainger 
29,Greene County,Tennessee,3261,83,20,103,Greene 
30,Grundy County,Tennessee,685,17,0,17,Grundy 
31,Hamblen County,Tennessee,3197,32,4,36,Hamblen 
32,Hamilton County,Tennessee,17885,357,399,756,Hamilton 
33,Hancock County,Tennessee,257,1,0,1,Hancock 
34,Hardeman County,Tennessee,1103,64,8,72,Hardeman 
35,Hardin County,Tennessee,1024,13,0,13,Hardin 
36,Hawkins County,Tennessee,2639,48,62,110,Hawkins 
37,Haywood County,Tennessee,917,76,0,76,Haywood 
38,Henderson County,Tennessee,1265,0,27,27,Henderson 
39,Henry County,Tennessee,1415,98,84,182,Henry 
40,Hickman County,Tennessee,1301,37,94,131,Hickman 
41,Houston County,Tennessee,544,41,0,41,Houston 
42,Humphreys County,Tennessee,995,17,0,17,Humphreys 
43,Jackson County,Tennessee,512,0,0,0,Jackson 
44,Jefferson County,Tennessee,2929,72,18,90,Jefferson 
45,Johnson County,Tennessee,640,51,23,74,Johnson 
46,Knox County,Tennessee,24858,596,823,1419,Knox 
47,Lake County,Tennessee,282,10,0,10,Lake 
48,Lauderdale County,Tennessee,1221,43,15,58,Lauderdale 
49,Lawrence County,Tennessee,2186,175,156,331,Lawrence 
50,Lewis County,Tennessee,628,0,20,20,Lewis 
51,Lincoln County,Tennessee,1632,34,0,34,Lincoln 
52,Loudon County,Tennessee,2234,42,34,76,Loudon 
53,McMinn County,Tennessee,2771,60,48,108,McMinn 
54,McNairy County,Tennessee,1273,49,6,55,McNairy 
55,Macon County,Tennessee,1067,67,0,67,Macon 
56,Madison County,Tennessee,5837,146,152,298,Madison 
57,Marion County,Tennessee,1352,0,111,111,Marion 
58,Marshall County,Tennessee,1808,69,110,179,Marshall 
59,Maury County,Tennessee,4330,78,98,176,Maury 
60,Meigs County,Tennessee,517,25,0,25,Meigs 
61,Monroe County,Tennessee,2218,41,43,84,Monroe 
62,Montgomery County,Tennessee,10563,129,185,314,Montgomery 
63,Moore County,Tennessee,267,15,25,40,Moore 
64,Morgan County,Tennessee,968,0,0,0,Morgan 
65,Obion County,Tennessee,1449,82,0,82,Obion 
66,Overton County,Tennessee,992,102,29,131,Overton 
67,Perry County,Tennessee,368,30,30,60,Perry 
68,Pickett County,Tennessee,157,5,0,5,Pickett 
69,Polk County,Tennessee,673,0,0,0,Polk 
70,Putnam County,Tennessee,4579,123,4,127,Putnam 
71,Rhea County,Tennessee,1786,67,10,77,Rhea 
72,Roane County,Tennessee,2695,20,0,20,Roane 
73,Robertson County,Tennessee,3571,8,14,22,Robertson 
74,Rutherford County,Tennessee,18704,492,161,653,Rutherford 
75,Scott County,Tennessee,1198,0,15,15,Scott 
76,Sequatchie County,Tennessee,820,0,45,45,Sequatchie 
77,Sevier County,Tennessee,4573,238,125,363,Sevier 
78,Shelby County,Tennessee,49179,1652,1144,2796,Shelby 
79,Smith County,Tennessee,986,9,8,17,Smith 
80,Stewart County,Tennessee,707,36,60,96,Stewart 
81,Sullivan County,Tennessee,6901,190,106,296,Sullivan 
82,Sumner County,Tennessee,9305,202,286,488,Sumner 
83,Tipton County,Tennessee,3654,134,25,159,Tipton 
84,Trousdale County,Tennessee,623,50,13,63,Trousdale 
85,Unicoi County,Tennessee,762,85,0,85,Unicoi 
86,Union County,Tennessee,951,98,11,109,Union 
87,Van Buren County,Tennessee,274,4,51,55,Van Buren 
88,Warren County,Tennessee,2120,43,140,183,Warren 
89,Washington County,Tennessee,6969,262,257,519,Washington 
90,Wayne County,Tennessee,567,0,0,0,Wayne 
91,Weakley County,Tennessee,2343,63,23,86,Weakley 
92,White County,Tennessee,1163,35,67,102,White 
93,Williamson County,Tennessee,13817,248,146,394,Williamson 
94,Wilson County,Tennessee,7030,177,108,285,Wilson 
0,Bristol County,Rhode Island,3897,20,18,38,Bristol 
1,Kent County,Rhode Island,6871,156,122,278,Kent 
2,Newport County,Rhode Island,3977,8,1,9,Newport 
3,Providence County,Rhode Island,36784,740,553,1293,Providence 
4,Washington County,Rhode Island,9582,107,156,263,Washington 
0,Arkansas County,Arkansas,895,4,57,61,Arkansas 
1,Ashley County,Arkansas,997,0,37,37,Ashley 
2,Baxter County,Arkansas,1730,99,59,158,Baxter 
3,Benton County,Arkansas,14508,405,249,654,Benton 
4,Boone County,Arkansas,1392,120,31,151,Boone 
5,Bradley County,Arkansas,497,0,25,25,Bradley 
6,Calhoun County,Arkansas,312,14,4,18,Calhoun 
7,Carroll County,Arkansas,1435,88,12,100,Carroll 
8,Chicot County,Arkansas,426,13,0,13,Chicot 
9,Clark County,Arkansas,2311,20,0,20,Clark 
10,Clay County,Arkansas,706,57,20,77,Clay 
11,Cleburne County,Arkansas,1161,34,75,109,Cleburne 
12,Cleveland County,Arkansas,327,4,2,6,Cleveland 
13,Columbia County,Arkansas,1816,8,54,62,Columbia 
14,Conway County,Arkansas,980,33,0,33,Conway 
15,Craighead County,Arkansas,6732,181,223,404,Craighead 
16,Crawford County,Arkansas,3102,79,61,140,Crawford 
17,Crittenden County,Arkansas,2634,37,124,161,Crittenden 
18,Cross County,Arkansas,875,6,9,15,Cross 
19,Dallas County,Arkansas,538,0,0,0,Dallas 
20,Desha County,Arkansas,633,9,11,20,Desha 
21,Drew County,Arkansas,1423,29,0,29,Drew 
22,Faulkner County,Arkansas,7994,292,85,377,Faulkner 
23,Franklin County,Arkansas,957,54,28,82,Franklin 
24,Fulton County,Arkansas,563,49,29,78,Fulton 
25,Garland County,Arkansas,4530,394,119,513,Garland 
26,Grant County,Arkansas,710,15,42,57,Grant 
27,Greene County,Arkansas,2469,160,42,202,Greene 
28,Hempstead County,Arkansas,908,117,6,123,Hempstead 
29,Hot Spring County,Arkansas,1513,40,48,88,Hot Spring 
30,Howard County,Arkansas,774,118,24,142,Howard 
31,Independence County,Arkansas,2073,37,73,110,Independence 
32,Izard County,Arkansas,508,0,1,1,Izard 
33,Jackson County,Arkansas,687,16,16,32,Jackson 
34,Jefferson County,Arkansas,3872,51,43,94,Jefferson 
35,Johnson County,Arkansas,1428,70,26,96,Johnson 
36,Lafayette County,Arkansas,265,0,4,4,Lafayette 
37,Lawrence County,Arkansas,930,24,18,42,Lawrence 
38,Lee County,Arkansas,454,26,7,33,Lee 
39,Lincoln County,Arkansas,423,46,13,59,Lincoln 
40,Little River County,Arkansas,538,0,43,43,Little River 
41,Logan County,Arkansas,979,14,13,27,Logan 
42,Lonoke County,Arkansas,4043,113,34,147,Lonoke 
43,Madison County,Arkansas,824,104,0,104,Madison 
44,Marion County,Arkansas,589,0,0,0,Marion 
45,Miller County,Arkansas,2608,44,6,50,Miller 
46,Mississippi County,Arkansas,2421,35,122,157,Mississippi 
47,Monroe County,Arkansas,351,0,0,0,Monroe 
48,Montgomery County,Arkansas,429,13,0,13,Montgomery 
49,Nevada County,Arkansas,421,26,49,75,Nevada 
50,Newton County,Arkansas,435,0,129,129,Newton 
51,Ouachita County,Arkansas,1035,18,2,20,Ouachita 
52,Perry County,Arkansas,481,18,22,40,Perry 
53,Phillips County,Arkansas,828,0,20,20,Phillips 
54,Pike County,Arkansas,600,0,5,5,Pike 
55,Poinsett County,Arkansas,1258,21,87,108,Poinsett 
56,Polk County,Arkansas,904,76,58,134,Polk 
57,Pope County,Arkansas,4575,88,224,312,Pope 
58,Prairie County,Arkansas,312,28,0,28,Prairie 
59,Pulaski County,Arkansas,17846,905,280,1185,Pulaski 
