County-State,SVI
JIM HOGG-TX,0.9917
HASKELL-TX,0.9755
FRIO-TX,0.9866
VAL VERDE-TX,0.9678
CAMERON-TX,0.9758
MAVERICK-TX,0.9742
SWISHER-TX,0.9701
ZAPATA-TX,0.9895
ANGELINA-TX,0.9771
FALLS-TX,0.9799
HUDSPETH-TX,0.9825
BEE-TX,0.9694
HIDALGO-TX,0.978
ZAVALA-TX,0.9987
CULBERSON-TX,0.9971
DUVAL-TX,0.9994
PRESIDIO-TX,0.9981
DIMMIT-TX,0.9997
PLACER-CA,0.1519
SIERRA-CA,0.0452
EL DORADO-CA,0.1838
PLUMAS-CA,0.2653
MONO-CA,0.1408
CALAVERAS-CA,0.235
NEVADA-CA,0.2045
SAN MATEO-CA,0.265
MARIN-CA,0.2701
SANTA CLARA-CA,0.3557
SAN LUIS OBISPO-CA,0.3739
SAN FRANCISCO-CA,0.3911
TUOLUMNE-CA,0.4688
CONTRA COSTA-CA,0.4057
SONOMA-CA,0.4035
ALAMEDA-CA,0.4701
VENTURA-CA,0.4828
NAPA-CA,0.5051
ORANGE-CA,0.4191
SAN BENITO-CA,0.5245
INYO-CA,0.5701
SANTA CRUZ-CA,0.543
LASSEN-CA,0.5997
SAN DIEGO-CA,0.5596
MARIPOSA-CA,0.5293
SOLANO-CA,0.5911
AMADOR-CA,0.5334
YOLO-CA,0.6768
SANTA BARBARA-CA,0.7111
SHASTA-CA,0.7022
TRINITY-CA,0.7411
COLUSA-CA,0.7436
SACRAMENTO-CA,0.7338
SISKIYOU-CA,0.7223
ALPINE-CA,0.7287
MODOC-CA,0.7516
RIVERSIDE-CA,0.7939
BUTTE-CA,0.8064
MONTEREY-CA,0.799
LOS ANGELES-CA,0.7682
HUMBOLDT-CA,0.7605
LAKE-CA,0.9178
SAN BERNARDINO-CA,0.901
STANISLAUS-CA,0.8675
GLENN-CA,0.8895
YUBA-CA,0.942
TULARE-CA,0.9417
SUTTER-CA,0.8822
MADERA-CA,0.9541
MENDOCINO-CA,0.8818
KERN-CA,0.9659
MERCED-CA,0.9717
KINGS-CA,0.9707
TEHAMA-CA,0.9624
FRESNO-CA,0.9611
DEL NORTE-CA,0.9713
IMPERIAL-CA,0.9978
ROGERS-OK,0.2834
MCCLAIN-OK,0.1624
GRANT-OK,0.1634
CANADIAN-OK,0.2621
LOGAN-OK,0.2984
ELLIS-OK,0.3019
ALFALFA-OK,0.2535
DEWEY-OK,0.2248
WOODS-OK,0.314
GRADY-OK,0.308
HARPER-OK,0.3185
MAJOR-OK,0.3204
NOBLE-OK,0.3385
CLEVELAND-OK,0.3436
KINGFISHER-OK,0.3806
LINCOLN-OK,0.4787
GARVIN-OK,0.5115
CREEK-OK,0.4901
PAYNE-OK,0.5131
CIMARRON-OK,0.4475
WASHITA-OK,0.4045
ROGER MILLS-OK,0.4003
WAGONER-OK,0.4245
WASHINGTON-OK,0.4382
BEAVER-OK,0.4554
WOODWARD-OK,0.5745
LOVE-OK,0.6293
GARFIELD-OK,0.5908
PAWNEE-OK,0.5424
NOWATA-OK,0.5895
STEPHENS-OK,0.6051
TULSA-OK,0.6159
OSAGE-OK,0.6239
KIOWA-OK,0.6545
PONTOTOC-OK,0.65
COTTON-OK,0.6742
BLAINE-OK,0.6678
OKLAHOMA-OK,0.6818
BECKHAM-OK,0.7118
MURRAY-OK,0.7092
CUSTER-OK,0.7503
MAYES-OK,0.7519
MCINTOSH-OK,0.7828
ATOKA-OK,0.8076
TEXAS-OK,0.821
PITTSBURG-OK,0.8264
JACKSON-OK,0.8226
COMANCHE-OK,0.8354
BRYAN-OK,0.8127
GREER-OK,0.7742
PUSHMATAHA-OK,0.7863
CARTER-OK,0.7914
DELAWARE-OK,0.7697
COAL-OK,0.8255
HARMON-OK,0.8108
POTTAWATOMIE-OK,0.7815
HUGHES-OK,0.8115
MARSHALL-OK,0.8545
HASKELL-OK,0.8736
OKFUSKEE-OK,0.9287
KAY-OK,0.842
CRAIG-OK,0.8538
LATIMER-OK,0.8936
SEMINOLE-OK,0.929
SEQUOYAH-OK,0.9159
CHEROKEE-OK,0.9271
TILLMAN-OK,0.871
OKMULGEE-OK,0.8659
MUSKOGEE-OK,0.9338
CADDO-OK,0.9459
JEFFERSON-OK,0.8745
LE FLORE-OK,0.9032
ADAIR-OK,0.8965
MCCURTAIN-OK,0.9137
